关键词,拆成关键词的关键句,来源句数量
年轻人不讲武德,,0
讲武德,年轻人不讲武德,1
蕾某人用爱发电,,0
某人,蕾某人用爱发电,1
阿巴阿巴,,0
三个打一个被反杀会不会玩,,0
反杀,三个打一个被反杀会不会玩,1
会玩,三个打一个被反杀会不会玩,1
网上流传的v3表情包“你妈的为什么”究竟是真是假,,0
网上流传,网上流传的v3表情包“你妈的为什么”究竟是真是假,1
v3,网上流传的v3表情包“你妈的为什么”究竟是真是假,1
"说谎的人要吞一千根针,姿态的一首《说谎》直接让耳朵怀孕",,0
说谎的人,"说谎的人要吞一千根针,姿态的一首《说谎》直接让耳朵怀孕",1
一千,"说谎的人要吞一千根针,姿态的一首《说谎》直接让耳朵怀孕",1
姿态,"说谎的人要吞一千根针,姿态的一首《说谎》直接让耳朵怀孕",1
说谎,"说谎的人要吞一千根针,姿态的一首《说谎》直接让耳朵怀孕",1
耳朵,"说谎的人要吞一千根针,姿态的一首《说谎》直接让耳朵怀孕",1
怀孕,"说谎的人要吞一千根针,姿态的一首《说谎》直接让耳朵怀孕",1
杰克奥特曼为什么会对着赛文说“谢谢你泰罗,,0
杰克奥特曼,杰克奥特曼为什么会对着赛文说“谢谢你泰罗,1
会对,杰克奥特曼为什么会对着赛文说“谢谢你泰罗,1
泰罗,杰克奥特曼为什么会对着赛文说“谢谢你泰罗,1
你这个挺好看的，我是学生能送我吗,,0
挺好看,你这个挺好看的，我是学生能送我吗,1
学生,你这个挺好看的，我是学生能送我吗,1
能送,你这个挺好看的，我是学生能送我吗,1
近期私信解答，百梗交集，你想知道的梗都在这,,0
交集,近期私信解答，百梗交集，你想知道的梗都在这,1
想知道,近期私信解答，百梗交集，你想知道的梗都在这,1
刻在NDA里的东西？别刻了DNA都满了,,0
刻在,刻在NDA里的东西？别刻了DNA都满了,1
NDA,刻在NDA里的东西？别刻了DNA都满了,1
DNA,刻在NDA里的东西？别刻了DNA都满了,1
梗字是从哪来的，梗为什么被叫做梗,,0
打工人，打工魂，打工都是人上人,,0
打工人,打工人，打工魂，打工都是人上人,1
打工魂,打工人，打工魂，打工都是人上人,1
打工,打工人，打工魂，打工都是人上人,1
人上人,打工人，打工魂，打工都是人上人,1
快了快了！等鸡吃完了米，狗舔了面，火烧断了锁up主就女装了,,0
吃完,快了快了！等鸡吃完了米，狗舔了面，火烧断了锁up主就女装了,1
火烧,快了快了！等鸡吃完了米，狗舔了面，火烧断了锁up主就女装了,1
up,快了快了！等鸡吃完了米，狗舔了面，火烧断了锁up主就女装了,1
女装,快了快了！等鸡吃完了米，狗舔了面，火烧断了锁up主就女装了,1
滔博赢下比赛为什么要谢谢小杨生煎,,0
赢下,滔博赢下比赛为什么要谢谢小杨生煎,1
比赛,滔博赢下比赛为什么要谢谢小杨生煎,1
什么要,滔博赢下比赛为什么要谢谢小杨生煎,1
小杨,滔博赢下比赛为什么要谢谢小杨生煎,1
生煎,滔博赢下比赛为什么要谢谢小杨生煎,1
淦字怎么念？是脏话还,,0
怎么念,淦字怎么念？是脏话还,1
您吃了嘛？没吃姐姐给你点外卖,,0
姐姐,您吃了嘛？没吃姐姐给你点外卖,1
点外卖,您吃了嘛？没吃姐姐给你点外卖,1
谁不想当假面骑士呢？我只是一个路过的假面骑士,,0
想当,谁不想当假面骑士呢？我只是一个路过的假面骑士,1
路过,谁不想当假面骑士呢？我只是一个路过的假面骑士,1
这就是名媛,,0
金色传说,,0
快来玩水啊姐妹们,,0
快来,快来玩水啊姐妹们,1
玩水,快来玩水啊姐妹们,1
姐妹们,快来玩水啊姐妹们,1
这合理吗,,0
o泡果奶,,0
我爸爸在夏威夷教我的,,0
在夏威夷,我爸爸在夏威夷教我的,1
好！很有精神,,0
你在教我做事啊,,0
在教,你在教我做事啊,1
做事,你在教我做事啊,1
被绑架了就眨眨眼睛,,0
绑架,被绑架了就眨眨眼睛,1
眨眨眼睛,被绑架了就眨眨眼睛,1
你懂金木的痛吗,,0
金木,你懂金木的痛吗,1
你不对劲,,0
集美,,0
住在山里真不错,,0
住在,住在山里真不错,1
山里,住在山里真不错,1
真不错,住在山里真不错,1
平角裤,,0
FBI open the door,,0
耶斯莫拉,,0
中二病,,0
声微饭否,,0
痛苦面具,,0
NTR,,0
阿珍爱上了阿强,,0
阿珍,阿珍爱上了阿强,1
阿强,阿珍爱上了阿强,1
那可挺令人恶心的,,0
令人恶心,那可挺令人恶心的,1
哔哔安慕希,,0
书币,,0
五虎上将,,0
妙啊,,0
滑铲,,0
可,,0
WDNMD,,0
竟然敢耍俺,,0
这河里吗,,0
这很合理,,0
这恒河里,,0
谁不想,,0
